iter	Passed	Remaining
0	0	67
1	1	63
2	1	61
3	2	55
4	2	54
5	3	54
6	4	54
7	4	53
8	5	52
9	5	52
10	6	51
11	6	50
12	7	50
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	37
33	19	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	32	18
64	33	18
65	33	17
66	34	16
67	35	16
68	35	15
69	36	15
70	36	15
71	37	14
72	37	14
73	38	13
74	39	13
75	39	12
76	40	11
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
